$T$ ($^{\circ}$F),$p$ (lbf/in$^2$),$v_f$ (ft$^3$/lb),$v_g$ (ft$^3$/lb),$u_f$ (Btu/lb),$u_g$ (Btu/lb),$h_f$ (Btu/lb),$h_{fg}$ (Btu/lb),$h_g$ (Btu/lb),$s_f$ (Btu/lb R),$s_{fg}$ (Btu/lb R),$s_g$ (Btu/lb R)
-60.00,5.548,0.02278,44.7537,-21.005,543.61,-20.97,610.56,589.58,-0.0512,1.4765,
-55.00,6.536,0.02288,38.3991,-15.765,545.11,-15.73,607.31,591.58,-0.0381,1.4627,
-50.00,7.664,0.02299,33.088,-10.525,546.59,-10.49,604.04,593.54,0.0253,1.4492,
-45.00,8.949,0.0231,28.6284,-5.295,548.04,-5.25,600.72,595.48,0.0126,1.4361,
-40.00,10.405,0.02322,24.8672,-0.045,549.46,0,597.37,597.37,0,1.4235,
-35.00,12.049,0.02333,21.6812,5.2,550.86,5.26,593.98,599.24,0.0124,1.4111,
-30.00,13.899,0.02345,18.9715,10.46,552.24,10.52,590.54,601.06,0.0247,1.3992,
-25.00,15.972,0.02357,16.6577,15.73,553.59,15.8,587.05,602.85,0.0369,1.3875,
-20.00,18.29,0.02369,14.6744,21.01,554.91,21.09,583.51,604.61,0.049,1.3762,
-15.00,20.871,0.02381,12.9682,26.31,556.2,26.4,579.92,606.32,0.061,1.3652,
-10.00,23.738,0.02393,11.4951,31.63,557.46,31.73,576.26,607.99,0.0729,1.3544,
-5.00,26.912,0.02406,10.219,36.96,558.7,37.08,572.54,609.62,0.0847,1.344,
0.00,30.416,0.02419,9.11,42.32,559.91,42.45,568.76,611.22,0.0964,1.3338,
5.00,34.275,0.02432,8.143,47.69,561.08,47.85,564.92,612.76,0.108,1.3238,
10.00,38.512,0.02446,7.2974,53.09,562.23,53.27,561,614.27,0.1196,1.3141,
15.00,43.153,0.0246,6.5556,58.52,563.34,58.72,557.01,615.73,0.1311,1.3046,
20.00,48.224,0.02474,5.9032,63.97,564.43,64.19,552.95,617.14,0.1425,1.2953,
25.00,53.752,0.02488,5.3278,69.43,565.48,69.68,548.82,618.51,0.1539,1.2862,
30.00,59.765,0.02503,4.8188,74.93,566.49,75.2,544.62,619.82,0.1651,1.2774,
35.00,66.291,0.02517,4.3675,80.44,567.48,80.75,540.34,621.09,0.1764,1.2687,
40.00,73.359,0.02533,3.9664,85.98,568.42,86.33,535.97,622.3,0.1875,1.2602,
45.00,81,0.02548,3.609,91.55,569.33,91.93,531.54,623.46,0.1986,1.2518,
50.00,89.242,0.02564,3.2897,97.13,570.21,97.55,527.02,624.57,0.2096,1.2436,
55.00,98.118,0.02581,3.004,102.73,571.04,103.2,522.42,625.62,0.2205,1.2356,
60.00,107.66,0.02597,2.7476,108.35,571.83,108.87,517.74,626.61,0.2314,1.2277,
65.00,117.9,0.02614,2.5171,113.99,572.59,114.56,512.97,627.54,0.2422,1.2199,
70.00,128.87,0.02632,2.3095,119.65,573.29,120.28,508.12,628.4,0.253,1.2123,
75.00,140.6,0.0265,2.122,125.33,573.95,126.02,503.18,629.2,0.2636,1.2048,
80.00,153.13,0.02668,1.9524,131.02,574.57,131.78,498.15,629.93,0.2742,1.1973,
85.00,166.5,0.02687,1.7988,136.73,575.13,137.56,493.03,630.59,0.2848,1.19,
90.00,180.73,0.02707,1.6593,142.46,575.65,143.37,487.81,631.18,0.2953,1.1827,
95.00,195.87,0.02727,1.5324,148.21,576.1,149.2,482.49,631.68,0.3057,1.1756,
100.00,211.96,0.02747,1.4168,153.98,576.51,155.05,477.06,632.11,0.3161,1.1685,
105.00,229.02,0.02768,1.3113,159.76,576.85,160.94,471.52,632.46,0.3264,1.1614,
110.00,247.1,0.0279,1.2149,165.58,577.13,166.85,465.86,632.71,0.3366,1.1544,
115.00,266.24,0.02813,1.1266,171.41,577.34,172.8,460.08,632.88,0.3469,1.1475,
120.00,286.47,0.02836,1.0456,177.28,577.48,178.79,454.16,632.95,0.357,1.1405,
